301_user_id,302_role,303_name,304_profile_img_url,305_contact,306_preferred_language,307_nationality,308_visa_status,309_employment_type,310_contract_period,311_agency_name,312_capable_tasks,313_allowed_zones,401_task_code,402_task_name,403_difficulty_level,404_required_headcount,405_standard_time,406_unit_type,407_sop_text_kr,408_guide_image_urls,409_eval_criteria,501_order_id,502_task_code_mapped,503_assigner_id,504_assignee_id,505_target_zone_id,506_priority,507_target_amount,508_planned_datetime,509_order_memo,510_status,511_read_receipt,512_actual_start_time,513_actual_end_time,514_completed_amount,515_issue_type,516_incomplete_reason,517_worker_feedback,601_worker_photo_urls,602_robot_vision_id,603_robot_scan_time,604_ai_eval_score,605_ai_detected_issues,606_final_grade,607_incentive_points,608_evaluator_memo
W-006,Worker,작업자_6,https://api.farm.com/img/w006.jpg,010-1795-6820,KR,KR,내국인,계절,2026-01-01 ~ 2026-12-31,직고용,"수확, 적엽, 곁순제거","1구역, 2구역, 3구역, 4구역",TSK-02,적엽,하,3,90.0,bed,맨 아래 누런 잎부터 3장 제거할 것.,https://api.farm.com/guide/deleaf.jpg,줄기 손상 여부,ORD-20260216-001,TSK-02,W-002,W-006,Zone-4,보통,143.1,2026-02-16 12:09:00,,완료,True,2026-02-16 12:22:00,2026-02-16 13:36:31,137.5,정상,-,특이사항 없음,https://api.farm.com/upload/ORD-20260216-001.jpg,RV-20260216-439,2026-02-16 13:41:31,96.9,특이사항 없음,A,969,우수함
W-008,Worker,작업자_8,https://api.farm.com/img/w008.jpg,010-6800-4967,KR,KR,내국인,계절,2026-01-01 ~ 2026-12-31,직고용,"수확, 적엽, 곁순제거","1구역, 2구역, 3구역, 4구역",TSK-03,곁순제거,상,2,150.0,row,메인 줄기 이외의 곁순은 모두 제거할 것.,https://api.farm.com/guide/prune.jpg,곁순 잔존율,ORD-20260216-002,TSK-03,W-002,W-008,Zone-1,긴급,165.6,2026-02-16 08:57:00,,완료,True,2026-02-16 09:07:00,2026-02-16 11:08:02,161.2,정상,-,특이사항 없음,https://api.farm.com/upload/ORD-20260216-002.jpg,RV-20260216-293,2026-02-16 11:13:02,93.2,특이사항 없음,A,932,우수함
W-006,Worker,작업자_6,https://api.farm.com/img/w006.jpg,010-1795-6820,KR,KR,내국인,계절,2026-01-01 ~ 2026-12-31,직고용,"수확, 적엽, 곁순제거","1구역, 2구역, 3구역, 4구역",TSK-02,적엽,하,3,90.0,bed,맨 아래 누런 잎부터 3장 제거할 것.,https://api.farm.com/guide/deleaf.jpg,줄기 손상 여부,ORD-20260216-003,TSK-02,W-002,W-006,Zone-4,보통,138.7,2026-02-16 12:15:00,,완료,True,2026-02-16 12:20:00,2026-02-16 13:42:52,137.8,정상,-,특이사항 없음,https://api.farm.com/upload/ORD-20260216-003.jpg,RV-20260216-929,2026-02-16 13:47:52,94.0,특이사항 없음,A,940,우수함
W-011,Worker,작업자_11,https://api.farm.com/img/w011.jpg,010-3346-6473,PH,PH,E-8,계절,2026-01-01 ~ 2026-12-31,글로벌맨파워,"수확, 적엽","1구역, 2구역, 3구역, 4구역",TSK-01,수확,중,5,120.0,kg,빨갛게 익은 과실만 조심해서 수확할 것.,https://api.farm.com/guide/harvest.jpg,상처 없는 과실 비율,ORD-20260216-004,TSK-01,W-001,W-011,Zone-4,보통,90.1,2026-02-16 08:52:00,금일 출하량 맞추기 위해 꼼꼼히 진행 요망,완료,True,2026-02-16 08:56:00,2026-02-16 11:11:15,71.5,정상,-,특이사항 없음,https://api.farm.com/upload/ORD-20260216-004.jpg,RV-20260216-380,2026-02-16 11:16:15,71.8,미수확 과실 잔존,C,0,재교육 필요
W-003,Worker,작업자_3,https://api.farm.com/img/w003.jpg,010-8884-6831,KR,KR,내국인,계절,2026-01-01 ~ 2026-12-31,직고용,"수확, 적엽, 곁순제거","1구역, 2구역, 3구역, 4구역",TSK-03,곁순제거,상,2,150.0,row,메인 줄기 이외의 곁순은 모두 제거할 것.,https://api.farm.com/guide/prune.jpg,곁순 잔존율,ORD-20260216-005,TSK-03,W-002,W-003,Zone-2,보통,112.4,2026-02-16 11:46:00,,완료,True,2026-02-16 11:48:00,2026-02-16 14:07:00,113.2,정상,-,특이사항 없음,https://api.farm.com/upload/ORD-20260216-005.jpg,RV-20260216-441,2026-02-16 14:12:00,96.8,특이사항 없음,A,968,우수함
W-004,Worker,작업자_4,https://api.farm.com/img/w004.jpg,010-6550-7994,KR,KR,내국인,계절,2026-01-01 ~ 2026-12-31,직고용,"수확, 적엽, 곁순제거","1구역, 2구역, 3구역, 4구역",TSK-03,곁순제거,상,2,150.0,row,메인 줄기 이외의 곁순은 모두 제거할 것.,https://api.farm.com/guide/prune.jpg,곁순 잔존율,ORD-20260216-006,TSK-03,W-001,W-004,Zone-3,보통,78.5,2026-02-16 09:06:00,,완료,True,2026-02-16 09:21:00,2026-02-16 11:27:42,76.6,정상,-,특이사항 없음,https://api.farm.com/upload/ORD-20260216-006.jpg,RV-20260216-676,2026-02-16 11:32:42,93.7,특이사항 없음,A,937,우수함
W-004,Worker,작업자_4,https://api.farm.com/img/w004.jpg,010-6550-7994,KR,KR,내국인,계절,2026-01-01 ~ 2026-12-31,직고용,"수확, 적엽, 곁순제거","1구역, 2구역, 3구역, 4구역",TSK-04,방제,상,2,60.0,zone,보호구 착용 후 꼼꼼히 살포할 것.,https://api.farm.com/guide/spray.jpg,약제 살포 균일도,ORD-20260216-007,TSK-04,W-002,W-004,Zone-2,보통,83.0,2026-02-16 12:20:00,,완료,True,2026-02-16 12:25:00,2026-02-16 13:19:40,79.0,정상,-,특이사항 없음,https://api.farm.com/upload/ORD-20260216-007.jpg,RV-20260216-472,2026-02-16 13:24:40,98.1,특이사항 없음,A,981,우수함
W-003,Worker,작업자_3,https://api.farm.com/img/w003.jpg,010-8884-6831,KR,KR,내국인,계절,2026-01-01 ~ 2026-12-31,직고용,"수확, 적엽, 곁순제거","1구역, 2구역, 3구역, 4구역",TSK-04,방제,상,2,60.0,zone,보호구 착용 후 꼼꼼히 살포할 것.,https://api.farm.com/guide/spray.jpg,약제 살포 균일도,ORD-20260216-008,TSK-04,W-002,W-003,Zone-2,보통,191.3,2026-02-16 12:10:00,,완료,True,2026-02-16 12:14:00,2026-02-16 13:05:03,187.0,정상,-,특이사항 없음,https://api.farm.com/upload/ORD-20260216-008.jpg,RV-20260216-937,2026-02-16 13:10:03,94.6,특이사항 없음,A,946,우수함
W-027,Worker,작업자_27,https://api.farm.com/img/w027.jpg,010-4426-2239,VN,VN,E-8,계절,2026-01-01 ~ 2026-12-31,글로벌맨파워,"수확, 적엽","1구역, 2구역, 3구역, 4구역",TSK-01,수확,중,5,120.0,kg,빨갛게 익은 과실만 조심해서 수확할 것.,https://api.farm.com/guide/harvest.jpg,상처 없는 과실 비율,ORD-20260216-009,TSK-01,W-002,W-027,Zone-2,보통,169.5,2026-02-16 10:43:00,금일 출하량 맞추기 위해 꼼꼼히 진행 요망,완료,True,2026-02-16 10:49:00,2026-02-16 13:04:13,131.1,정상,-,특이사항 없음,https://api.farm.com/upload/ORD-20260216-009.jpg,RV-20260216-880,2026-02-16 13:09:13,80.0,특이사항 없음,B,0,조금 더 신경 쓸 것
W-006,Worker,작업자_6,https://api.farm.com/img/w006.jpg,010-1795-6820,KR,KR,내국인,계절,2026-01-01 ~ 2026-12-31,직고용,"수확, 적엽, 곁순제거","1구역, 2구역, 3구역, 4구역",TSK-03,곁순제거,상,2,150.0,row,메인 줄기 이외의 곁순은 모두 제거할 것.,https://api.farm.com/guide/prune.jpg,곁순 잔존율,ORD-20260216-010,TSK-03,W-001,W-006,Zone-3,높음,192.8,2026-02-16 14:55:00,,완료,True,2026-02-16 14:59:00,2026-02-16 17:09:16,184.7,정상,-,특이사항 없음,https://api.farm.com/upload/ORD-20260216-010.jpg,RV-20260216-334,2026-02-16 17:14:16,95.0,특이사항 없음,A,950,우수함
